;1-800-FLOWERS;1800flowers.ca;viglink
;1-800-FLOWERS;1800flowers.com;viglink
;2BStores;2bstores.com;viglink
;AlexandAlexa.com;alexandalexa.com;viglink
;Alloy;alloy.com;viglink
;Alloy;alloyapparel.com;viglink
;AllPosters.com;allposters.ca;viglink
;AllPosters.com;allposters.com;viglink
;Allsole;allsole.com;viglink
;Anthropologie;anthropologie.com;viglink
;Anthropologie;anthropologie.eu;viglink
;Art.com;art.com;viglink
;Ashford.com;ashford.com;viglink
;Avenue;avenue.com;viglink
;"AX Paris";axparis.co.uk;viglink
;"AX Paris";de.axparis.com;viglink
;Backcountry.com;backcountry.com;viglink
;Backcountry.com;backcountryoutlet.com;viglink
;bebe;bebe.com;viglink
;"Bergdorf Goodman";bergdorfgoodman.com;viglink
;boohoo;boohoo.co.uk;viglink
;boohoo;boohoo.com;viglink
;"Boston Proper, Inc.";bostonproper.com;viglink
;Bowflex;bowflex.com;viglink
;Bowflex;bowflexcatalog.com;viglink
;Bowflex;bowflexhomegyms.com;viglink
;Bowflex;bowflexselecttech.com;viglink
;Bowflex;bowflexshop.com;viglink
;"Brooks Brothers";brooksbrothers.com;viglink
;Brownells;brownells.com;viglink
;"Buffalo David Bitton";buffalojeans.ca;viglink
;"Buffalo David Bitton";buffalojeans.com;viglink
;"Carol's Daughter";carolsdaughter.com;viglink
;"Cath Kidston";cathkidston.co.uk;viglink
;"Celeb Boutique";celebboutique.com;viglink
;Chegg;chegg.com;viglink
;"Cymax Stores";armoirescentral.com;viglink
;"Cymax Stores";audio-video-furniture.com;viglink
;"Cymax Stores";bakersrackscollection.com;viglink
;"Cymax Stores";beanbagselect.com;viglink
;"Cymax Stores";bedroomfurniturenmore.com;viglink
;"Cymax Stores";coffeetablesandendtables.com;viglink
;"Cymax Stores";computerdesksnmore.com;viglink
;"Cymax Stores";csgrills.com;viglink
;"Cymax Stores";cymax.com;viglink
;"Cymax Stores";everysofa.com;viglink
;"Cymax Stores";fitnessequipmentselect.com;viglink
;"Cymax Stores";gamechairselect.com;viglink
;"Cymax Stores";grandfatherclockselect.com;viglink
;"Cymax Stores";greenhouseselect.com;viglink
;"Cymax Stores";homebarselect.com;viglink
;"Cymax Stores";lampselect.com;viglink
;"Cymax Stores";luggagesetselect.com;viglink
;"Cymax Stores";massagechairselect.com;viglink
;"Cymax Stores";mediastoragecenter.com;viglink
;"Cymax Stores";mirrorsource.com;viglink
;"Cymax Stores";moreaccentfurniture.com;viglink
;"Cymax Stores";morebeddingsets.com;viglink
;"Cymax Stores";morebedroomfurniture.com;viglink
;"Cymax Stores";morebookcases.com;viglink
;"Cymax Stores";morebunkbeds.com;viglink
;"Cymax Stores";morecuriocabinets.com;viglink
;"Cymax Stores";moredaybeds.com;viglink
;"Cymax Stores";morediningtables.com;viglink
;"Cymax Stores";morefilingcabinets.com;viglink
;"Cymax Stores";morefireplaces.com;viglink
;"Cymax Stores";morefutons.com;viglink
;"Cymax Stores";moreheadboards.com;viglink
;"Cymax Stores";morekitchencarts.com;viglink
;"Cymax Stores";moremattresses.com;viglink
;"Cymax Stores";moreofficechairs.com;viglink
;"Cymax Stores";moreplatformbeds.com;viglink
;"Cymax Stores";morepubsets.com;viglink
;"Cymax Stores";morevanities.com;viglink
;"Cymax Stores";morewineracks.com;viglink
;"Cymax Stores";mountzilla.com;viglink
;"Cymax Stores";officefurnituenmore.com;viglink
;"Discount Office Items";discountofficeitems.com;viglink
;"DJ Premium";djpremium.com;viglink
;DrJays;drjays.co.uk;viglink
;DrJays;drjays.com;viglink
;eBay;ebay.at;viglink
;eBay;ebay.be;viglink
;eBay;ebay.ca;viglink
;eBay;ebay.ch;viglink
;eBay;ebay.co.uk;viglink
;eBay;ebay.com;viglink
;eBay;ebay.com.au;viglink
;eBay;ebay.com.my;viglink
;eBay;ebay.de;viglink
;eBay;ebay.es;viglink
;eBay;ebay.fr;viglink
;eBay;ebay.ie;viglink
;eBay;ebay.it;viglink
;eBay;ebay.nl;viglink
;eBay;half.com;viglink
;Entertainment.com;entertainment.com;viglink
;Etnies;altamont.com;viglink
;Etnies;emerica.com;viglink
;Etnies;etnies.com;viglink
;"Excess Baggage";shopexcessbaggage.com;viglink
;"Fannie May";fanniemay.com;viglink
;FarFetch.com;farfetch.com;viglink
;"Finish Line";finishline.com;viglink
;"Forever 21";forever21.co.uk;viglink
;"Forever 21";forever21.com;viglink
;"Forever 21";forever21.eu;viglink
;Forzieri;forzieri.com;viglink
;"Freda Salvador";shop.fredasalvador.com;viglink
;"French Connection";fcuk.com;viglink
;"French Connection";frenchconnection.com;viglink
;Freshpair;freshpair.com;viglink
;"G. Neil";gneil.com;viglink
;"G. Neil";gneil.hrdirect.com;viglink
;Garage;garage.ca;viglink
;Garage;shopgarageonline.com;viglink
;Gilt;gilt.com;viglink
;"Girl Meets Dress Ltd";girlmeetsdress.com;viglink
;"Great Plains";greatplains.co.uk;viglink
;Groupon;citydeal.pt;viglink
;Groupon;groupon.be;viglink
;Groupon;groupon.co.uk;viglink
;Groupon;groupon.com;viglink
;Groupon;groupon.com.ar;viglink
;Groupon;groupon.com.br;viglink
;Groupon;groupon.com.tr;viglink
;Groupon;groupon.dk;viglink
;Groupon;groupon.fi;viglink
;Groupon;groupon.fr;viglink
;Groupon;groupon.gr;viglink
;Groupon;groupon.ie;viglink
;Groupon;groupon.it;viglink
;Groupon;groupon.nl;viglink
